,Month,Neighbourhood Name,Neighbourhood Number,No Response,Owned,Quarter,Rented,Year,﻿Ward
0,1,ALBERTA PARK INDUSTRIAL,4010,0,0,1,0,2011,Ward 1
0,2,ALBERTA PARK INDUSTRIAL,4010,0,0,1,0,2011,Ward 1
0,3,ALBERTA PARK INDUSTRIAL,4010,0,0,1,0,2011,Ward 1
0,4,ALBERTA PARK INDUSTRIAL,4010,0,0,2,0,2011,Ward 1
0,5,ALBERTA PARK INDUSTRIAL,4010,0,0,2,0,2011,Ward 1
0,6,ALBERTA PARK INDUSTRIAL,4010,0,0,2,0,2011,Ward 1
0,7,ALBERTA PARK INDUSTRIAL,4010,0,0,3,0,2011,Ward 1
0,8,ALBERTA PARK INDUSTRIAL,4010,0,0,3,0,2011,Ward 1
0,9,ALBERTA PARK INDUSTRIAL,4010,0,0,3,0,2011,Ward 1
0,10,ALBERTA PARK INDUSTRIAL,4010,0,0,4,0,2011,Ward 1
0,11,ALBERTA PARK INDUSTRIAL,4010,0,0,4,0,2011,Ward 1
0,12,ALBERTA PARK INDUSTRIAL,4010,0,0,4,0,2011,Ward 1
1,1,ALDERGROVE,4020,43,1175,1,728,2011,Ward 1
1,2,ALDERGROVE,4020,43,1175,1,728,2011,Ward 1
1,3,ALDERGROVE,4020,43,1175,1,728,2011,Ward 1
1,4,ALDERGROVE,4020,43,1175,2,728,2011,Ward 1
1,5,ALDERGROVE,4020,43,1175,2,728,2011,Ward 1
1,6,ALDERGROVE,4020,43,1175,2,728,2011,Ward 1
1,7,ALDERGROVE,4020,43,1175,3,728,2011,Ward 1
1,8,ALDERGROVE,4020,43,1175,3,728,2011,Ward 1
1,9,ALDERGROVE,4020,43,1175,3,728,2011,Ward 1
1,10,ALDERGROVE,4020,43,1175,4,728,2011,Ward 1
1,11,ALDERGROVE,4020,43,1175,4,728,2011,Ward 1
1,12,ALDERGROVE,4020,43,1175,4,728,2011,Ward 1
2,1,ANTHONY HENDAY,4011,0,0,1,0,2011,Ward 1
2,2,ANTHONY HENDAY,4011,0,0,1,0,2011,Ward 1
2,3,ANTHONY HENDAY,4011,0,0,1,0,2011,Ward 1
2,4,ANTHONY HENDAY,4011,0,0,2,0,2011,Ward 1
2,5,ANTHONY HENDAY,4011,0,0,2,0,2011,Ward 1
2,6,ANTHONY HENDAY,4011,0,0,2,0,2011,Ward 1
2,7,ANTHONY HENDAY,4011,0,0,3,0,2011,Ward 1
2,8,ANTHONY HENDAY,4011,0,0,3,0,2011,Ward 1
